number,k_number,sensitivity/recall,specificity,precision,f_measure,accuracy
8,1,0.4824405941713755(0.02115674444950261),0.991918187952775(0.0010890027977938218),0.9247191011235956(0.010112359550561775),0.6338150303841609(0.01896341465853459),0.8291000000000001(0.007244998274671989)
8,2,0.5249169013685864(0.025326261644586814),0.9929882371321259(0.0033098678441503965),0.9337078651685393(0.03115825758171246),0.6718421342630515(0.02681942101107454),0.8415000000000001(0.005352569476429059)
8,3,0.488779425521936(0.029771136192953327),0.9888964868506804(0.0029323678512647136),0.8955056179775281(0.0284471660700498),0.631684817605262(0.026175874895343582),0.8362999999999999(0.011722201158485561)
8,4,0.5161364909760752(0.016350893015501182),0.9908647042124106(0.002699135744565754),0.9134831460674159(0.025646544293288377),0.6594611877944597(0.017723232204007837),0.8423999999999999(0.004498888751680801)
8,5,0.496451505307146(0.026189013295895142),0.9904428264099208(0.0022361169192009096),0.9101123595505616(0.021318725798887952),0.6419968931915477(0.023087655314637155),0.8363999999999999(0.009275774900244192)
8,10,0.5223668246344981(0.013193148169822455),0.9910074958644639(0.00273079830031085),0.9146067415730338(0.02620652537009123),0.6647907146691939(0.014330478705429396),0.8440999999999999(0.005243090691567336)
8,15,0.49826409650961445(0.022182800195428936),0.9895241756426921(0.002576965828539859),0.9011235955056179(0.02502366005766302),0.6412241229244801(0.017546769103891014),0.8387(0.008695401083331356)
8,20,0.5067190227546334(0.03238816520678757),0.990111981571643(0.0033554801858514346),0.9067415730337078(0.031400423848274434),0.6498978950979353(0.03358974829909956),0.8404(0.006102458520956948)
8,30,0.5111181315743746(0.036148947823369346),0.9909700055893428(0.002735104839084079),0.9146067415730338(0.026206525370091244),0.6548232391956254(0.02975563428061736),0.8399000000000001(0.012872062771754973)
8,40,0.5277183045888012(0.02347945915052283),0.992179004375337(0.0023718414584070003),0.9258426966292136(0.022583990159822213),0.6719834551006318(0.02225471041835963),0.8436(0.0068000000000000066)
8,50,0.5327470283955016(0.02341719980608221),0.9895286474254714(0.0024003682494514824),0.9(0.023272264244053903),0.668982511591748(0.020912780100034972),0.8493999999999999(0.006873136110975839)
9,1,0.46154767217567044(0.019564282445984446),0.9864886125473585(0.0041744832181451344),0.8819148936170214(0.03699008223556108),0.6056769001346021(0.021739836734467617),0.8202(0.008121576201698757)
9,2,0.5068203610548638(0.023920546882457885),0.9902517605197593(0.0030454648415690656),0.9138297872340425(0.02710157277203617),0.6516826390650092(0.02291500207650069),0.8301999999999999(0.008158431221748462)
9,3,0.47686137878344664(0.008886029227399679),0.9876510178505198(0.003472814015481458),0.8914893617021276(0.031486486355210085),0.6211180823161018(0.010610755662933557),0.8241999999999999(0.0071805292284065035)
9,4,0.4809287713654511(0.04312570015375698),0.9879892597618689(0.0038258193584164778),0.8946808510638297(0.03345571317769446),0.62461271205261(0.03955555039436721),0.8240000000000001(0.01417039166713466)
9,5,0.48290858690262584(0.023528153149444547),0.9900186079591405(0.0020607528821269725),0.9127659574468083(0.017673667793442698),0.6314079672928654(0.022923101983061505),0.8219999999999998(0.007169379331573956)
9,10,0.484306218202584(0.024516486198607437),0.9881378060353498(0.001905548052298259),0.8957446808510637(0.017021276595744667),0.628275539968698(0.020941310190016212),0.8257(0.009381364506296497)
9,15,0.46083243123781853(0.022590832469351715),0.9883703585552656(0.003822875506749684),0.898936170212766(0.03338798899250044),0.6090855637356578(0.024913497869103438),0.8164(0.007296574538781846)
9,20,0.4595257140679432(0.023324551377079176),0.9896835049496477(0.003017859459320213),0.9106382978723404(0.026574459567652763),0.6104530191458858(0.023027276470353325),0.8133000000000001(0.010080178569846828)
9,30,0.4741166780615731(0.02964811685638892),0.9883258547027107(0.0028611950196341324),0.897872340425532(0.025708608454456525),0.619907773231389(0.02636052976769742),0.8212999999999999(0.012149485585817998)
9,40,0.4597812059128413(0.021184350072412428),0.988236344102436(0.0022249486993014362),0.897872340425532(0.01914893617021276),0.6078974558014181(0.020865654115039437),0.8160999999999999(0.00806783738061195)
9,50,0.44379894539943504(0.021799124556648827),0.986227103053942(0.002776142820534429),0.8808510638297873(0.024165567428937332),0.58998227493673(0.02247604440336537),0.8131(0.008190848551890057)
